,region,feat_importance
0,Precentral_L,-0.5273124578166318
1,Precentral_R,0.054053858267996496
2,Frontal_Sup_L,0.038529983850349225
3,Frontal_Sup_R,-0.32849333709342254
4,Frontal_Sup_Orb_L,-0.3162129074058606
5,Frontal_Sup_Orb_R,0.6952745330608078
6,Frontal_Mid_L,0.12790674151166315
7,Frontal_Mid_R,0.11696566541670905
8,Frontal_Mid_Orb_L,-0.3201879785601486
9,Frontal_Mid_Orb_R,0.3270544304751624
10,Frontal_Inf_Oper_L,-0.22883338710429366
11,Frontal_Inf_Oper_R,0.10927573936014925
12,Frontal_Inf_Tri_L,0.49505862770623965
13,Frontal_Inf_Tri_R,0.0774633063245245
14,Frontal_Inf_Orb_L,-0.1918864353371547
15,Frontal_Inf_Orb_R,-0.1304832997451176
16,Rolandic_Oper_L,-0.1267564091557365
17,Rolandic_Oper_R,0.5857264098859528
18,Supp_Motor_Area_L,-0.15967905106910185
19,Supp_Motor_Area_R,0.33089702336516225
20,Olfactory_L,-0.2023299442578907
21,Olfactory_R,0.3137393401695202
22,Frontal_Sup_Medial_L,-0.03201362532641963
23,Frontal_Sup_Medial_R,0.7464478331553632
24,Frontal_Med_Orb_L,0.3745204453436488
25,Frontal_Med_Orb_R,-0.20688093215124034
26,Rectus_L,-0.5290637786286252
27,Rectus_R,-0.5644489263733415
28,Insula_L,0.2059613573191641
29,Insula_R,0.2567300871137369
30,Cingulum_Ant_L,0.009735484102037922
31,Cingulum_Ant_R,0.6935051179351297
32,Cingulum_Mid_L,-0.4974573937489062
33,Cingulum_Mid_R,0.344724972108612
34,Cingulum_Post_L,-0.19536666036390954
35,Cingulum_Post_R,0.3063894650459551
36,Hippocampus_L,-0.8990157125324221
37,Hippocampus_R,-0.5855700298131519
38,ParaHippocampal_L,0.23079134502667606
39,ParaHippocampal_R,-0.1059941586729482
40,Amygdala_L,-0.28540709239971623
41,Amygdala_R,-0.3271073476309821
42,Calcarine_L,-0.08423896489714552
43,Calcarine_R,-0.171035579702971
44,Cuneus_L,0.2199336366319931
45,Cuneus_R,0.05641163957383935
46,Lingual_L,-0.378109668722294
47,Lingual_R,0.28404151101351083
48,Occipital_Sup_L,-0.07809566373921334
49,Occipital_Sup_R,-0.5029781931734266
50,Occipital_Mid_L,-0.013939445594510769
51,Occipital_Mid_R,0.18094180818591554
52,Occipital_Inf_L,0.17110808329677807
53,Occipital_Inf_R,-0.09023402772902735
54,Fusiform_L,-0.8746618464927939
55,Fusiform_R,-0.934070392939188
56,Postcentral_L,-0.2874501015106877
57,Postcentral_R,-0.258735734588956
58,Parietal_Sup_L,-0.25341637127815636
59,Parietal_Sup_R,0.23353855757513947
60,Parietal_Inf_L,-0.40765006311418467
61,Parietal_Inf_R,-0.06871596818952842
62,SupraMarginal_L,0.15418635564506836
63,SupraMarginal_R,-0.09625356550677101
64,Angular_L,0.20541669916685718
65,Angular_R,-0.6366533468620164
66,Precuneus_L,0.21363398914388562
67,Precuneus_R,0.4187127190804136
68,Paracentral_Lobule_L,-0.2605273710527357
69,Paracentral_Lobule_R,0.33006101170461843
70,Caudate_L,0.306913931774764
71,Caudate_R,0.5236912440948818
72,Putamen_L,-0.8377619657500176
73,Putamen_R,-0.4092567109491463
74,Pallidum_L,0.14943798706352618
75,Pallidum_R,0.00801024510628659
76,Thalamus_L,-0.5773866041015878
77,Thalamus_R,0.13850312569816112
78,Heschl_L,-0.08836355333575269
79,Heschl_R,-0.01284850693664227
80,Temporal_Sup_L,-0.3422832034664569
81,Temporal_Sup_R,-0.5134040613327305
82,Temporal_Pole_Sup_L,0.4586101692694867
83,Temporal_Pole_Sup_R,0.3820648056984876
84,Temporal_Mid_L,-0.6609823219910455
85,Temporal_Mid_R,-0.043234758274907095
86,Temporal_Pole_Mid_L,0.32187394523783963
87,Temporal_Pole_Mid_R,-0.3992550156792956
88,Temporal_Inf_L,-0.010620309866924858
89,Temporal_Inf_R,-0.07812400328600108
